标的,投资周期,价格变动率,收益率,交易费用,最大回撤,平均回撤
房地产ETF,1 days,-0.47894736842105257,-0.24017129411764704,11548.739999999905,0.28526622513753697,0.036684367901472226
房地产ETF,3 days,-0.47894736842105257,-0.3620047868020304,5808.46000000003,0.42995569796954325,0.05519266177978799
房地产ETF,7 days,-0.47894736842105257,-0.3616116153846153,2491.73,0.42983231952662726,0.054999117539909714
房地产ETF,15 days,-0.47894736842105257,-0.36152524050632917,1164.74,0.4297378481012658,0.05554539069470987
房地产ETF,30 days,-0.47894736842105257,-0.36354179746835447,582.0099999999999,0.43153177215189875,0.05749112249195243
房地产ETF,90 days,-0.47894736842105257,-0.3664847407407408,198.74,0.431396,0.060023813563723105
房地产ETF,180 days,-0.47894736842105257,-0.367526,103.02000000000001,0.42847999999999997,0.06603848921059818
房地产ETF,365 days,-0.47894736842105257,-0.37387000000000004,52.449999999999996,0.44204714285714275,0.05827835818992988
房地产ETF,3000 days,-0.47894736842105257,-0.475526,11.629999999999999,0.5316719999999999,0.16189274697259404
中概互联网ETF,1 days,-0.054247697031729714,-0.18705457310431506,11923.729999999929,0.23574903058232088,0.021166727245232275
中概互联网ETF,3 days,-0.054247697031729714,-0.2823626457286432,6003.630000000029,0.35604872110552765,0.03195489238506877
中概互联网ETF,7 days,-0.054247697031729714,-0.2835038768328446,2571.1099999999997,0.357256129032258,0.032217696618533576
中概互联网ETF,15 days,-0.054247697031729714,-0.281265125,1207.0999999999997,0.35452883749999997,0.03018746244962578
中概互联网ETF,30 days,-0.054247697031729714,-0.28308199999999994,603.1999999999998,0.35635890000000003,0.030206653267127126
中概互联网ETF,90 days,-0.054247697031729714,-0.2830057777777778,203.58000000000004,0.3558538518518518,0.031026144992430504
中概互联网ETF,180 days,-0.054247697031729714,-0.3007982857142857,104.98,0.37104942857142853,0.042009258738383126
中概互联网ETF,365 days,-0.054247697031729714,-0.30298257142857143,53.09,0.37612999999999996,0.0325885324451024
中概互联网ETF,3000 days,-0.054247697031729714,-0.34045800000000004,11.79,0.416038,0.023421311456534144
沪深300ETF,1 days,0.19914772727272734,-0.038612429828236206,12598.84999999997,0.09049792207792207,-0.020863159033385648
沪深300ETF,3 days,0.19914772727272734,-0.05923446733668347,6385.580000000014,0.13900608793969849,-0.03139277875702362
沪深300ETF,7 days,0.19914772727272734,-0.05886382404692081,2735.9199999999987,0.13882656891495604,-0.031979982539448226
沪深300ETF,15 days,0.19914772727272734,-0.05824566250000007,1283.83,0.13786692500000008,-0.03222912156044866
沪深300ETF,30 days,0.19914772727272734,-0.06029679999999993,641.42,0.1401947750000001,-0.03157262676422312
沪深300ETF,90 days,0.19914772727272734,-0.061074814814814804,216.4000000000001,0.14192896296296287,-0.030608668854850363
沪深300ETF,180 days,0.19914772727272734,-0.07716628571428574,111.74,0.15669199999999994,-0.022050294467020892
沪深300ETF,365 days,0.19914772727272734,-0.05497199999999991,56.120000000000005,0.13605714285714288,-0.03798310425132856
沪深300ETF,3000 days,0.19914772727272734,0.02394799999999986,12.26,0.20063599999999993,-0.09167585229759312
上证50ETF,1 days,0.21961703790543163,-0.04886468370339336,12575.399999999961,0.09159019438625882,-0.008705603223239544
上证50ETF,3 days,0.21961703790543163,-0.07441682412060302,6359.660000000007,0.13969229145728634,-0.013068585530222165
上证50ETF,7 days,0.21961703790543163,-0.07459213489736072,2724.1899999999996,0.13996522580645154,-0.0132750086147706
上证50ETF,15 days,0.21961703790543163,-0.07342752500000005,1278.6199999999994,0.13855093750000003,-0.01392396693107223
上证50ETF,30 days,0.21961703790543163,-0.07565074999999999,638.8999999999999,0.14078117499999998,-0.013007731003829459
上证50ETF,90 days,0.21961703790543163,-0.07574777777777775,215.45,0.1407988888888888,-0.012829859348407524
上证50ETF,180 days,0.21961703790543163,-0.09101357142857136,111.14999999999999,0.15349657142857143,-0.005463682166301886
上证50ETF,365 days,0.21961703790543163,-0.06621714285714286,55.900000000000006,0.1330457142857142,-0.022068636448890233
上证50ETF,3000 days,0.21961703790543163,0.0029920000000001057,12.24,0.13105400000000011,-0.08189387636761492
中证500ETF,1 days,-0.0593900481540931,-0.01124075994972773,12811.269999999906,0.12086224465856732,-0.030696936347410553
中证500ETF,3 days,-0.0593900481540931,-0.017125927135678398,6457.890000000013,0.18339611557788948,-0.046287813860055094
中证500ETF,7 days,-0.0593900481540931,-0.01563188269794724,2767.5599999999995,0.1823855366568915,-0.04736013588236432
中证500ETF,15 days,-0.0593900481540931,-0.017489712499999976,1297.8699999999997,0.1831283374999999,-0.046130795240700406
中证500ETF,30 days,-0.0593900481540931,-0.02052524999999994,648.3999999999999,0.18657564999999998,-0.04437604041301979
中证500ETF,90 days,-0.0593900481540931,-0.01982214814814809,218.89,0.18819859259259253,-0.042973664681092316
中证500ETF,180 days,-0.0593900481540931,-0.038341857142857094,112.93,0.20350800000000002,-0.03036066505157864
中证500ETF,365 days,-0.0593900481540931,-0.039091428571428444,56.4,0.2038265714285714,-0.033706832447639945
中证500ETF,3000 days,-0.0593900481540931,-0.0879120000000001,12.059999999999999,0.36434200000000005,0.04739135010940909
创业板ETF,1 days,-0.12092130518234168,-0.04988083033095947,12596.709999999943,0.1558264415584416,-0.07506773895500829
创业板ETF,3 days,-0.12092130518234168,-0.07632004020100502,6356.460000000007,0.23733844974874363,-0.11308990325739243
创业板ETF,7 days,-0.12092130518234168,-0.07520248093841642,2723.83,0.23672043988269797,-0.11435856765975339
创业板ETF,15 days,-0.12092130518234168,-0.07679667499999998,1277.5399999999997,0.23715918749999998,-0.11281108796524353
