标的,投资周期,价格变动率,收益率,交易费用,最大回撤,平均回撤
房地产ETF,1 days,-0.47894736842105257,-0.492917113838341,4023.4399999999987,0.28908349062702,0.03788488189582628
房地产ETF,3 days,-0.47894736842105257,-0.23377074027072764,3163.4300000000003,0.2866091182795698,0.03567780552561006
房地产ETF,7 days,-0.47894736842105257,-0.2160945477599323,2520.600000000001,0.2779297254397254,0.033218769487087574
房地产ETF,15 days,-0.47894736842105257,-0.2152607805907173,2141.95,0.2839237548387098,0.03471764794770915
房地产ETF,30 days,-0.47894736842105257,-0.23212400421940926,1652.59,0.2829699145299146,0.036460718483464105
房地产ETF,90 days,-0.47894736842105257,-0.24223294650205762,1667.96,0.3057565384615385,0.039023253369072974
房地产ETF,180 days,-0.47894736842105257,-0.2147997619047619,1944.3,0.29415620512820506,0.0474201695612958
房地产ETF,365 days,-0.47894736842105257,-0.24241298238747555,1798.8700000000001,0.2965967984344423,0.033861069036414504
房地产ETF,3000 days,-0.47894736842105257,-0.2880657133333334,2448.24,0.34393884666666663,0.08157743928829408
中概互联网ETF,1 days,-0.34328358208955223,-0.42922815249266866,3332.3000000000006,0.2046337733419189,-0.01977936946364789
中概互联网ETF,3 days,-0.34328358208955223,-0.17025202261306538,3265.33,0.25778865711252663,-0.002968598066291017
中概互联网ETF,7 days,-0.34328358208955223,-0.14267133640552998,2618.4800000000005,0.24231805304400234,-0.014151471145058547
中概互联网ETF,15 days,-0.34328358208955223,-0.16774105000000006,2194.2199999999993,0.2568949312169312,-0.0070236709213444826
中概互联网ETF,30 days,-0.34328358208955223,-0.1359249583333333,1974.5000000000005,0.23640373544973547,-0.01931804299442108
中概互联网ETF,90 days,-0.34328358208955223,-0.11989376131687235,1906.3400000000001,0.24546661988304086,-0.022435143915266798
中概互联网ETF,180 days,-0.34328358208955223,-0.1574943333333334,1967.52,0.25936871717171717,-0.0057390178406862
中概互联网ETF,365 days,-0.34328358208955223,-0.1717315381604697,2126.08,0.2616458356164383,-0.018228551581094043
中概互联网ETF,3000 days,-0.34328358208955223,-0.17894093333333327,2406.7,0.25603724000000005,-0.016641095974763376
沪深300ETF,1 days,0.02675747993189015,-0.33821835777126097,4419.32000000001,0.11848633699633693,-0.06473543180080044
沪深300ETF,3 days,0.02675747993189015,-0.0022932956448912245,3607.1900000000005,0.11503555555555545,-0.0668575499947901
沪深300ETF,7 days,0.02675747993189015,-0.0019019648093842045,2748.889999999999,0.11382021791767549,-0.06820160823009247
沪深300ETF,15 days,0.02675747993189015,-0.003825783333333277,2320.0800000000004,0.11346576190476187,-0.06731565069549306
沪深300ETF,30 days,0.02675747993189015,0.00013888333333333946,2109.4800000000005,0.11753350000000007,-0.06795007196601177
沪深300ETF,90 days,0.02675747993189015,-0.0005572263374485908,1844.2599999999998,0.11757417777777779,-0.06899358356616503
沪深300ETF,180 days,0.02675747993189015,-0.014877130952380968,1877.4699999999998,0.1165491666666667,-0.057389774469605026
沪深300ETF,365 days,0.02675747993189015,0.005624113502935346,2073.49,0.09396172602739716,-0.0795907041552717
沪深300ETF,3000 days,0.02675747993189015,0.09756337000000004,2555.89,0.12275545333333326,-0.11169236374973734
上证50ETF,1 days,0.00547680412371121,-0.34656878089652277,4754.180000000006,0.08517743842364545,-0.044684182930167404
上证50ETF,3 days,0.00547680412371121,-0.015247311557789023,3778.88,0.08234038834951452,-0.0470223809602659
上证50ETF,7 days,0.00547680412371121,-0.013737511520737322,2802.839999999999,0.08125422077922073,-0.0482159773497568
上证50ETF,15 days,0.00547680412371121,-0.011860583333333286,2350.2000000000007,0.07835460317460319,-0.05018361285699058
上证50ETF,30 days,0.00547680412371121,-0.010856429166666737,2092.73,0.07570330303030293,-0.05075915098127992
上证50ETF,90 days,0.00547680412371121,-0.013021144032921761,1823.18,0.07717144444444435,-0.04993031439742368
上证50ETF,180 days,0.00547680412371121,-0.020606849206349143,1877.2599999999998,0.07825022222222222,-0.04190404322788588
上证50ETF,365 days,0.00547680412371121,-0.0055541487279844315,2057.75,0.0647960273972602,-0.06084922468827747
上证50ETF,3000 days,0.00547680412371121,0.08267395666666677,2536.63,0.07278766999999997,-0.10323040787592008
中证500ETF,1 days,-0.08864696734059097,-0.3159636112274822,4061.539999999997,0.21048230769230758,-0.06495913004739617
中证500ETF,3 days,-0.08864696734059097,0.030583664154103962,3377.1099999999983,0.20545543478260864,-0.0664971091817681
中证500ETF,7 days,-0.08864696734059097,0.029096665270213817,2726.259999999999,0.20690355932203386,-0.067919903881549
中证500ETF,15 days,-0.08864696734059097,0.02835544583333327,2187.9300000000003,0.20868557142857147,-0.06454891137298269
中证500ETF,30 days,-0.08864696734059097,0.028002504166666498,1983.9900000000002,0.2129688095238096,-0.06416913027279292
中证500ETF,90 days,-0.08864696734059097,0.027294551440329107,1875.2400000000002,0.2156291777777778,-0.06251166544706965
中证500ETF,180 days,-0.08864696734059097,0.011017293650793736,1905.72,0.2064422592592594,-0.044711036586504216
中证500ETF,365 days,-0.08864696734059097,0.020731510763209338,2084.49,0.1897338904109589,-0.05140752400332538
中证500ETF,3000 days,-0.08864696734059097,0.028239233333333447,2649.7,0.25842318,-0.01826183085594102
创业板ETF,1 days,0.031531531531531654,-0.2971785337243401,2960.159999999996,0.2013133699633699,-0.17440345678730496
创业板ETF,3 days,0.031531531531531654,0.03381159547738677,3220.31,0.1960203140096618,-0.17011110312857336
创业板ETF,7 days,0.031531531531531654,0.06623436950146622,2827.560000000001,0.19618401937046004,-0.17968563167611906
