Date,AAPL,MSFT,NFLX,AMZN,GOOG
2009-12-31,6.444380760192871,23.49339485168457,7.869999885559082,134.52000427246094,308.8324279785156
2010-01-04,6.544687747955322,23.855655670166016,7.639999866485596,133.89999389648438,312.20477294921875
2010-01-05,6.556003093719482,23.863361358642578,7.3585710525512695,134.69000244140625,310.8299255371094
2010-01-06,6.451720714569092,23.716917037963867,7.617143154144287,132.25,302.9942932128906
2010-01-07,6.439793586730957,23.470266342163086,7.485713958740234,130.0,295.94073486328125
2010-01-08,6.482605457305908,23.632129669189453,7.614285945892334,133.52000427246094,299.8859558105469
2010-01-11,6.425420761108398,23.33152961730957,7.604286193847656,130.30999755859375,299.4326477050781
2010-01-12,6.352331161499023,23.1773738861084,7.481429100036621,127.3499984741211,294.13751220703125
2010-01-13,6.4419331550598145,23.393192291259766,7.708570957183838,129.11000061035156,292.4488220214844
2010-01-14,6.404624938964844,23.863361358642578,7.284286022186279,127.3499984741211,293.82366943359375
2010-01-15,6.297591209411621,23.786293029785156,7.278571128845215,127.13999938964844,288.91705322265625
2010-01-19,6.57618522644043,23.97127342224121,7.314286231994629,127.61000061035156,292.71282958984375
2010-01-20,6.47496223449707,23.578176498413086,7.320000171661377,125.77999877929688,289.1213073730469
2010-01-21,6.363032817840576,23.13112449645996,7.312857151031494,126.62000274658203,290.4014892578125
2010-01-22,6.047435760498047,22.321805953979492,7.269999980926514,121.43000030517578,273.9780578613281
2010-01-25,6.2101287841796875,22.599281311035156,7.018570899963379,120.30999755859375,268.99176025390625
2010-01-26,6.2978973388671875,22.738021850585938,7.135714054107666,119.4800033569336,270.1972351074219
2010-01-27,6.357224464416504,22.869054794311523,7.281428813934326,122.75,270.037841796875
2010-01-28,6.094529151916504,22.47595977783203,9.005714416503906,126.02999877929688,266.14739990234375
2010-01-29,5.8734307289123535,21.720592498779297,8.89285659790039,125.41000366210938,263.98052978515625
2010-02-01,5.955081462860107,21.89787483215332,8.718570709228516,118.87000274658203,265.5147705078125
2010-02-02,5.9896368980407715,21.936416625976562,8.835714340209961,118.12000274658203,264.5683288574219
2010-02-03,6.092695236206055,22.06744384765625,8.850000381469727,119.0999984741211,269.40020751953125
2010-02-04,5.873125076293945,21.458528518676758,8.619999885559082,115.94000244140625,262.40643310546875
2010-02-05,5.977405071258545,21.597270965576172,8.691429138183594,117.38999938964844,264.65301513671875
2010-02-08,5.936425685882568,21.366039276123047,8.699999809265137,116.83000183105469,265.73895263671875
2010-02-09,5.999730110168457,21.589561462402344,8.875714302062988,118.02999877929688,267.2184143066406
2010-02-10,5.967007637023926,21.57414436340332,8.784285545349121,117.36000061035156,266.22711181640625
2010-02-11,6.075571060180664,21.67435073852539,9.05142879486084,120.08999633789062,267.198486328125
2010-02-12,6.127865314483643,21.52789878845215,9.025713920593262,119.66000366210938,265.5646057128906
2010-02-16,6.22022008895874,21.953811645507812,9.265713691711426,117.52999877929688,269.6393127441406
2010-02-17,6.194226264953613,22.13966178894043,9.215714454650879,116.30999755859375,268.10009765625
2010-02-18,6.20584774017334,22.43393325805664,9.442856788635254,118.08000183105469,270.5957336425781
2010-02-19,6.1673150062561035,22.279056549072266,9.521429061889648,117.5199966430664,269.3703308105469
2010-02-22,6.129088878631592,22.248079299926758,9.324286460876465,118.01000213623047,270.38653564453125
2010-02-23,6.026334762573242,21.938322067260742,9.192856788635254,117.23999786376953,266.53594970703125
2010-02-24,6.136427402496338,22.17064094543457,9.241429328918457,119.72000122070312,264.74267578125
2010-02-25,6.177405834197998,22.147411346435547,9.372857093811035,118.19999694824219,262.2320861816406
2010-02-26,6.257527828216553,22.20161247253418,9.435713768005371,118.4000015258789,262.4164123535156
2010-03-01,6.391170978546143,22.47264862060547,9.95714282989502,124.54000091552734,265.35040283203125
2010-03-02,6.38688850402832,22.03900146484375,9.854286193847656,125.52999877929688,269.519775390625
2010-03-03,6.401566028594971,22.03900146484375,9.649999618530273,125.88999938964844,271.6418151855469
2010-03-04,6.443768501281738,22.17064094543457,9.715714454650879,128.52999877929688,276.259521484375
2010-03-05,6.69575834274292,22.13966178894043,9.664285659790039,128.91000366210938,281.0515441894531
2010-03-08,6.699733257293701,22.17064094543457,9.811429023742676,130.11000061035156,280.1897888183594
2010-03-09,6.820223808288574,22.302278518676758,9.991429328918457,128.82000732421875,279.0490417480469
2010-03-10,6.875881195068359,22.43393325805664,10.182856559753418,130.50999450683594,287.148681640625
2010-03-11,6.896064758300781,22.596548080444336,10.170000076293945,133.5800018310547,289.48492431640625
2010-03-12,6.929705619812012,22.666244506835938,9.997142791748047,131.82000732421875,288.68792724609375
2010-03-15,6.845300674438477,22.681734085083008,9.942856788635254,131.1300048828125,280.5384826660156
2010-03-16,6.863955020904541,22.743680953979492,10.09000015258789,131.7899932861328,281.5447082519531
2010-03-17,6.853862762451172,22.945022583007812,10.131428718566895,131.33999633789062,281.7240295410156
2010-03-18,6.870072841644287,22.929540634155273,10.077142715454102,132.75999450683594,282.1424560546875
2010-03-19,6.7966766357421875,22.914045333862305,10.064286231994629,130.35000610351562,278.95440673828125
2010-03-22,6.873129844665527,22.92178726196289,10.412857055664062,130.47000122070312,277.7090759277344
2010-03-23,6.983525276184082,23.13862419128418,10.422857284545898,129.25999450683594,273.4749450683594
2010-03-24,7.0144147872924805,22.960508346557617,10.338570594787598,128.0399932861328,277.6243896484375
2010-03-25,6.9312334060668945,23.239286422729492,10.505714416503906,134.72999572753906,280.3890380859375
2010-03-26,7.061204433441162,22.968252182006836,10.614286422729492,135.05999755859375,280.2944030761719
