,名称,代码
142,Rekor Systems Inc,105.REKR
143,36氪,105.KRKR
144,Unusual Machines Inc,107.UMAC
145,SurgePays Inc Wt,105.SURGW
146,箩筐技术,105.LKCO
147,CleanSpark Inc,105.CLSK
148,Nocera Inc,105.NCRA
149,Quadro Acquisition One Corp Wt,105.QDROW
150,Erasca Inc,105.ERAS
151,LENZ Therapeutics Inc,105.LENZ
152,诺瓦瓦克斯医药,105.NVAX
153,Inspira Technologies Oxy B.H.N.,105.IINNW
154,SPAR Group Inc,105.SGRP
155,NeuroSense Therapeutics Ltd Wt,105.NRSNW
156,The Children's Place Inc,105.PLCE
157,Nuvve Holding Corp Wt,105.NVVEW
158,SolarBank Corp,105.SUUN
159,优点互动,105.IDEX
160,SES AI Corp Wt,106.SES_WS
161,Sharps Technology Inc,105.STSS
162,Cyngn Inc,105.CYN
163,Data Storage Corp,105.DTST
164,Vuzix Corp,105.VUZI
165,HighPeak Energy Inc Wt,105.HPKEW
166,Assure Holdings Corp,105.IONM
167,International Media Acquisition,105.IMAQR
168,Distoken Acquisition Corp Rt,105.DISTR
169,亚狮康药业,105.ASLN
170,Gores Holdings IX Inc Wt,105.GHIXW
171,Carmell Corp,105.CTCX
172,Barnwell Industries Inc,107.BRN
173,中国天然资源,105.CHNR
174,Velo3D Inc Wt,106.VLD_WS
175,AlphaVest Acquisition Corp Rt,105.ATMVR
176,Urban One Inc-A,105.UONE
177,Finance of America Companies In,106.FOA_WS
178,Planet Labs PBC Wt,106.PL_WS
179,ARK 21Shares Active Ethereum Fu,107.ARKZ
180,DURECT Corp,105.DRRX
181,比特矿业,106.BTCM
182,Bitwise Ethereum Strategy ETF,107.AETH
183,Atlas Lithium Corp,105.ATLX
184,ProShares Ether Strategy ETF,107.EETH
185,Humacyte Inc,105.HUMA
186,BuzzFeed Inc-A,105.BZFD
187,BTCS Inc,105.BTCS
188,Gaucho Group Holdings Inc,105.VINO
189,The OLB Group Inc,105.OLB
190,Logistic Properties of the Amer,107.LPA
191,Largo Inc,105.LGO
192,Katapult Holdings Inc Wt,105.KPLTW
193,AEON Biopharma Inc-A,107.AEON
194,Advent Technologies Holdings In,105.ADNWW
195,金太阳教育,105.GSUN
196,OppFi Inc-A,106.OPFI
197,Sezzle Inc,105.SEZL
198,Freightos Ltd Wt,105.CRGOW
199,Instructure Holdings Inc,106.INST
200,Cresud Wt,105.CRESW
201,福斯尔,105.FOSL
202,Core Scientific Inc Wt,105.CORZZ
203,天美生物,105.BON
204,BuzzFeed Inc Wt,105.BZFDW
205,第九城市,105.NCTY
206,Trilogy Metals Inc,107.TMQ
207,Applied Digital Corp,105.APLD
208,Eco Wave Power Global AB (publ),105.WAVE
209,Recruiter.com Group Inc,105.RCRT
210,InMed Pharmaceuticals Inc,105.INM
211,KULR Technology Group Inc,107.KULR
212,Avalon GloboCare Corp,105.ALBT
213,晖阳新能源,105.EPOW
214,高斯电子,105.KOSS
215,Alarum Technologies Ltd ADR,105.ALAR
216,Safety Shot Inc Wt,105.SHOTW
217,Benitec Biopharma Inc,105.BNTC
218,GEE Group Inc,107.JOB
219,Moolec Science SA,105.MLEC
220,狮子集团控股(权证),105.LGHLW
221,Kairous Acquisition Corp Ltd Rt,105.KACLR
222,AERWINS Technologies Inc Wt,105.AWINW
223,System1 Inc Wt,106.SST_WS
224,Tenon Medical Inc Wt,105.TNONW
225,Pulse Biosciences Inc,105.PLSE
226,Boundless Bio Inc,105.BOLD
227,Tigo Energy Inc,105.TYGO
228,Vizsla Silver Corp,107.VZLA
229,International Tower Hill Mines ,107.THM
230,Corner Growth Acquisition Corp ,105.TRONW
231,AMC院线,106.AMC
232,Sunshine Biopharma Inc Wt,105.SBFMW
233,FSD Pharma Inc-B,105.HUGE
234,新蛋,105.NEGG
235,Katapult Holdings Inc,105.KPLT
236,Volato Group Inc Wt,107.SOAR_WS
237,Mynd.ai Inc ADR,107.MYND
238,Xilio Therapeutics Inc,105.XLO
239,Presidio Property Trust Inc Wt,105.SQFTW
240,Americas Gold and Silver Corp,107.USAS
241,Lottery.com Inc Wt,105.LTRYW
242,First Trust SkyBridge Crypto In,107.CRPT
243,TeraWulf Inc,105.WULF
244,ESSA Pharma Inc,105.EPIX
245,AGBA Group Holding Ltd Wt,105.AGBAW
246,GEN Restaurant Group Inc-A,105.GENK
247,Oblong Inc,105.OBLG
248,Global X Blockchain ETF,105.BKCH
249,Procaps Group SA,105.PROC
250,Aveanna Healthcare Holdings Inc,105.AVAH
251,尚高生命科学,105.SISI
252,NovoCure Ltd,105.NVCR
253,Cue Biopharma Inc,105.CUE
254,ARK 21Shares Active Bitcoin Eth,107.ARKY
255,Valkyrie Bitcoin Futures Levera,105.BTFX
256,途牛,105.TOUR
257,WiSA Technologies Inc,105.WISA
258,Skeena Resources Ltd,106.SKE
259,Edible Garden AG Inc,105.EDBL
260,Embotelladora Andina SA ADR-A,106.AKO_A
261,Terra Property Trust Inc Notes,106.TPTA
262,SEP Acquisition Corp-A,105.SEPA
263,Cardio Diagnostics Holdings Inc,105.CDIOW
264,Valkyrie Bitcoin Miners ETF,105.WGMI
265,Calidi Biotherapeutics Inc,107.CLDI
266,VanEck Digital Transformation E,105.DAPP
267,Centrus Energy Corp-A,107.LEU
268,VanEck Ethereum Strategy ETF,107.EFUT
269,Brainstorm Cell Therapeutics In,105.BCLI
270,MicroStrategy Inc-A,105.MSTR
271,Webuy Global Ltd,105.WBUY
272,Australian Oilseeds Holdings Lt,105.COOTW
273,Riot Platforms Inc,105.RIOT
274,天睿祥,105.TIRX
275,Seanergy Maritime Holdings Corp,105.SHIP
276,Foghorn Therapeutics Inc,105.FHTX
277,Intelligent Bio Solutions Inc,105.INBS
278,惠普森医药,107.CPHI
279,Metalla Royalty & Streaming Ltd,107.MTA
280,Stronghold Digital Mining Inc-A,105.SDIG
281,Royalty Management Holding Corp,105.RMCO
282,2x Bitcoin Strategy ETF,107.BITX
283,Strong Global Entertainment Inc,107.SGE
284,ProShares Ultra Bitcoin ETF,107.BITU
285,基瓦尼科技,105.KEQU
286,Hut 8 Corp,105.HUT
287,iBio Inc,107.IBIO
288,知食谷,105.WNW
289,Reneo Pharmaceuticals Inc,105.RPHM
290,SoundHound AI Inc-A,105.SOUN
291,Nutriband Inc,105.NTRB
292,Sow Good Inc,105.SOWG
293,Enhabit Inc,106.EHAB
294,Coinbase Global Inc-A,105.COIN
295,YieldMax MSTR Option Income Str,107.MSTY
296,Artelo Biosciences Inc,105.ARTL
297,BTC Digital Ltd,105.BTCT
298,Integra Resources Corp,107.ITRG
299,必迈医药,105.BIMI
300,Manitex International Inc,105.MNTX
301,黛安娜船舶(权证),106.DSX_WS
302,CaliberCos Inc-A,105.CWD
303,Akso Health Group ADR,105.AHG
304,安博教育,107.AMBO
305,Sangoma Technologies Corp,105.SANG
306,B. Riley Financial Inc,105.RILY
307,"Annexon, Inc.",105.ANNX
308,Valkyrie Bitcoin Strategy ETF,105.BTF
309,Delta Apparel Inc,107.DLA
310,Synchronoss Technologies Inc,105.SNCR
311,百老汇金融,105.BYFC
312,标志点制药,105.CKPT
313,New Horizon Aircraft Ltd-A,105.HOVR
314,DBV Technologies SA ADR,105.DBVT
315,道森地探,105.DWSN
316,NLS Pharmaceutics Ltd,105.NLSP
317,讯鸟软件,105.IFBD
318,Bitwise Bitcoin and Ether Equal,107.BTOP
319,Turnstone Biologics Corp,105.TSBX
320,Corbus Pharmaceuticals Holdings,105.CRBP
321,ProShares Bitcoin & Ether Equal,107.BETE
322,Perpetua Resources Corp,105.PPTA
323,Estrella Immunopharma Inc Wt,105.ESLAW
324,Neonode Inc,105.NEON
325,United Homes Group Inc Wt,105.UHGWW
326,American Lithium Corp,105.AMLI
327,Aethlon Medical Inc,105.AEMD
328,Ambipar Emergency Response-A,107.AMBI
329,Independent Bank Group Inc,105.IBTX
330,AERWINS Technologies Inc,105.AWIN
331,Portage Biotech Inc,105.PRTG
332,IRSA Inversiones y Representaci,106.IRS_WS
333,Veru Inc,105.VERU
334,MicroCloud Hologram Inc Wt,105.HOLOW
335,Alta Equipment Group Inc-A,106.ALTG
336,挪威邮轮,106.NCLH
337,Inhibikase Therapeutics Inc,105.IKT
338,Allego NV,106.ALLG
339,SIMPPLE LTD,105.SPPL
340,Upexi Inc,105.UPXI
341,HHG Capital Corp Unit Cons of 1,105.HHGCU
342,Wheels Up Experience Inc-A,106.UP
343,T2 Biosystems Inc,105.TTOO
344,Rimini Street Inc,105.RMNI
345,迅雷,105.XNET
346,再鼎医药,105.ZLAB
347,Advantage Solutions Inc-A,105.ADV
348,Bitwise Crypto Industry Innovat,107.BITQ
349,野马生物,105.MBIO
350,HIVE Digital Technologies Ltd,105.HIVE
351,Rent the Runway Inc-A,105.RENT
352,iShares Blockchain and Tech ETF,107.IBLC
353,Rigetti Computing Inc Wt,105.RGTIW
354,WinVest Acquisition Corp Rt,105.WINVR
355,Applied UV Inc Series A Pfd,105.AUVIP
356,二倍做多天然气ETF-ProShares,107.BOIL
357,BioSig Technologies Inc,105.BSGM
358,Arbe Robotics Ltd,105.ARBE
359,Northern Dynasty Minerals Ltd,107.NAK
360,MoneyLion Inc-A,106.ML
361,嘉年华邮轮(US),106.CCL
362,Inspire Veterinary Partners Inc,105.IVP
363,BriaCell Therapeutics Corp,105.BCTX
364,Ramaco Resources Inc-A,105.METC
365,Mountain Crest Acquisition Corp,105.MCAGR
366,Expensify Inc-A,105.EXFY
367,Cognition Therapeutics Inc,105.CGTX
368,BYND Cannasoft Enterprises Inc,105.BCAN
369,大猩猩科技(权证),105.GRRRW
370,Azitra Inc,107.AZTR
371,嘉年华邮轮(US ADR),106.CUK
372,NuScale Power Corp Wt,106.SMR_WS
373,慧悦财经,105.INTJ
