日期,房地产ETF,中概互联网ETF,沪深300ETF,上证50ETF,中证500ETF,创业板ETF,中小100ETF,医药ETF,证券ETF,环保ETF,恒生ETF,H股ETF,标普500ETF,纳指ETF,军工ETF,银行ETF,传媒ETF,国债ETF,十年国债ETF
2023-10-23,0.5884210526315791,0.9918116683725691,1.1772727272727272,1.1973427119968738,0.9234884965222043,0.8709213051823416,0.9323461091753774,1.2662538699690402,0.8754789272030651,0.9781746031746031,0.8988580750407831,0.776803118908382,2.07994289793005,3.182890855457227,0.9151036525172755,1.093093093093093,0.6793206793206794,1.1667617451136991,1.2346437222953754
2023-10-24,0.6031578947368421,0.9918116683725691,1.1786931818181818,1.2004689331770222,0.9347244515783842,0.8790786948176583,0.934959349593496,1.2724458204334363,0.9051724137931033,0.9831349206349206,0.902120717781403,0.7758284600389864,2.0770877944325483,3.203539823008849,0.9210266535044423,1.0890890890890892,0.6953046953046953,1.1662176038476053,1.2331359876164725
2023-10-25,0.6031578947368421,1.0010235414534288,1.184375,1.205158264947245,0.9390048154093097,0.8709213051823416,0.9401858304297329,1.263157894736842,0.9042145593869731,0.9781746031746031,0.9078303425774877,0.7836257309941521,2.078515346181299,3.191740412979351,0.932872655478776,1.0910910910910911,0.6973026973026973,1.1675691805408062,1.2343220722305428
2023-10-26,0.5968421052631578,1.0,1.188068181818182,1.208675263774912,0.9432851792402354,0.8776391554702495,0.9396051103368177,1.2755417956656345,0.9032567049808429,0.9722222222222222,0.903752039151713,0.7797270955165693,2.0456816559600286,3.094395280235988,0.9447186574531097,1.102102102102102,0.6933066933066934,1.1689383101780746,1.2346437222953754
2023-10-27,0.6042105263157894,1.0174002047082906,1.2034090909090909,1.2180539273153574,0.9609416800428037,0.9025911708253359,0.9605110336817654,1.3188854489164086,0.9070881226053639,0.998015873015873,0.9208809135399674,0.7962962962962963,2.0456816559600286,3.1061946902654864,0.951628825271471,1.1001001001001,0.7062937062937064,1.1684117218560481,1.2347442379406355
2023-10-30,0.6052631578947368,1.0184237461617196,1.2079545454545453,1.2172723720203205,0.9689673622257892,0.9241842610364682,0.9750290360046459,1.3560371517027863,0.9032567049808429,1.007936507936508,0.9200652528548123,0.7923976608187134,2.037116345467523,3.112094395280236,0.9615004935834157,1.082082082082082,0.7142857142857143,1.1699563809339921,1.2352367646024105
2023-10-31,0.6031578947368421,1.0040941658137155,1.205681818181818,1.2157092614302463,0.9668271803103263,0.9193857965451055,0.9663182346109175,1.3560371517027863,0.9051724137931033,1.0,0.9078303425774877,0.7846003898635477,2.0428265524625266,3.109144542772861,0.9595261599210267,1.083083083083083,0.7162837162837163,1.170307439815343,1.2368450149265733
2023-11-01,0.5968421052631578,0.9989764585465711,1.2051136363636363,1.2192262602579131,0.9646869983948635,0.9155470249520152,0.9584785133565622,1.346749226006192,0.9022988505747126,0.9940476190476191,0.9070146818923329,0.7836257309941521,2.06423982869379,3.1533923303834808,0.9575518262586378,1.083083083083083,0.7192807192807193,1.1705444045602547,1.2381115120568518
2023-11-02,0.5926315789473684,1.0030706243602865,1.2002840909090908,1.217663149667839,0.9555912252541466,0.9069097888675623,0.9497677119628339,1.3405572755417956,0.8955938697318008,0.9791666666666666,0.9094616639477977,0.787524366471735,2.0885082084225552,3.2182890855457225,0.9387956564659428,1.0910910910910911,0.7332667332667333,1.1714044988195644,1.2393277513645
2023-11-03,0.5915789473684211,1.0266120777891503,1.2082386363636364,1.2254787026182101,0.9630818619582665,0.920345489443378,0.9599303135888502,1.346749226006192,0.9061302681992336,0.9890873015873016,0.929853181076672,0.804093567251462,2.1213418986438257,3.24188790560472,0.9565646594274433,1.0870870870870872,0.7342657342657344,1.1713255105712606,1.2392071325901877
